permno,adate,qdate,public_date,roe,TICKER
10104,20200531,20200831,20201231,0.679,ORCL
10107,20200630,20200930,20201231,0.422,MSFT
10138,20191231,20200930,20201231,0.315,TROW
10145,20191231,20200930,20201231,0.254,HON
10516,20191231,20200930,20201231,0.078,ADM
10696,20191231,20200930,20201231,0.025,FISV
10909,20191231,20200930,20201231,0.175,CERN
11308,20191231,20200930,20201231,0.406,KO
11403,20191231,20200930,20201231,0.538,CDNS
11404,20191231,20200930,20201231,0.055,ED
11600,20191231,20200930,20201231,-0.015,XRAY
11618,20191231,20200930,20201231,0.304,FAST
11674,20191231,20200930,20201231,0.096,DTE
11786,20191231,20200930,20201231,0.168,SIVB
11850,20191231,20200930,20201231,0.016,XOM
11891,20191231,20200930,20201231,0.157,MGM
11896,20200630,20200930,20201231,0.403,MXIM
11955,20191231,20200930,20201231,0.183,WM
12052,20191231,20200930,20201231,0.227,GD
12060,20191231,20200930,20201231,0.132,GE
12062,20191231,20200930,20201231,0.116,LH
12073,20191231,20200930,20201231,0.068,PBCT
12308,20191231,20200930,20201231,0.055,CHTR
12369,20191231,20200930,20201231,0.082,GM
12448,20191231,20200930,20201231,0.113,FRC
12449,20191231,20200930,20201231,0.190,FLT
12490,20191231,20200930,20201231,0.374,IBM
12558,20191231,20200930,20201231,0.004,KMI
12622,20191231,20200930,20201231,,HCA
12623,20191231,20200930,20201231,0.360,HII
12650,20191231,20200930,20201231,0.102,KSU
12872,20191231,20200930,20201231,-0.302,MPC
12981,20191231,20200930,20201231,0.193,FBHS
13035,20191231,20200930,20201231,0.070,XYL
13323,20191231,20200930,20201231,0.640,ENPH
13356,20191231,20200930,20201231,-0.095,PSX
13407,20191231,20200930,20201231,0.245,FB
13447,20191231,20200930,20201231,0.337,NOW
13641,20191231,20200930,20201231,-0.295,FANG
13721,20191231,20200930,20201231,0.292,ABBV
13788,20191231,20200930,20201231,0.518,ZTS
13856,20191231,20200930,20201231,0.397,PEP
13901,20191231,20200930,20201231,0.059,MO
13911,20191231,20200930,20201231,0.027,IQV
13928,20191231,20200930,20201231,-0.032,COP
13936,20200131,20201031,20201231,-0.200,PVH
13949,20191231,20200930,20201231,0.710,CDW
13963,20200630,20200930,20201231,-0.118,NWSA
14008,20191231,20200930,20201231,0.689,AMGN
14295,20191231,20200930,20201231,-0.148,TWTR
14338,20191231,20200930,20201231,,HLT
14541,20191231,20200930,20201231,-0.073,CVX
14579,20191231,20200930,20201231,0.257,PAYC
14593,20200930,20200930,20201231,0.697,AAPL
14702,20201031,20201031,20201231,0.385,AMAT
14714,20191231,20200930,20201231,0.234,ANET
14763,20200630,20200930,20201231,0.138,CTLT
14776,20191231,20200930,20201231,0.106,SYF
14882,20191231,20200930,20201231,-0.879,CZR
14889,20191231,20200930,20201231,0.051,CFG
14939,20201031,20201031,20201231,0.195,KEYS
15069,20191231,20200930,20201231,-0.094,MRO
15202,20191231,20200930,20201231,0.098,VMC
15291,20191231,20200930,20201231,0.463,ETSY
15408,20191231,20200930,20201231,-0.008,KHC
15488,20191231,20200930,20201231,0.187,PYPL
15579,20191231,20200930,20201231,0.594,TXN
15707,20201031,20201031,20201231,-0.019,HPE
15720,20191231,20200930,20201231,0.026,EIX
16087,20191231,20200930,20201231,0.052,FTV
16431,20200531,20200831,20201231,0.966,LW
16600,20191231,20200930,20201231,0.619,HSY
16678,20200131,20201031,20201231,0.279,KR
16692,20191231,20200930,20201231,-0.027,IR
16851,20191231,20200930,20201231,-0.069,DD
17005,20191231,20200930,20201231,0.110,CVS
17144,20200531,20200831,20201231,0.238,GIS
17478,20191231,20200930,20201231,5.893,SPGI
17743,20191231,20200930,20201231,0.058,WRB
17750,20191231,20200930,20201231,2.249,KMB
17830,20191231,20200930,20201231,-0.044,RTX
18163,20200630,20200930,20201231,0.261,PG
18411,20191231,20200930,20201231,0.084,SO
18420,20200630,20200930,20201231,0.157,FOXA
18428,20191231,20200930,20201231,-0.162,DOW
18542,20191231,20200930,20201231,0.229,CAT
18592,20191231,20200930,20201231,0.023,CTVA
18729,20191231,20200930,20201231,4.257,CL
19166,20191231,20200930,20201231,0.189,FMC
19285,20191231,20200930,20201231,0.196,CARR
19286,20191231,20200930,20201231,0.365,OTIS
19350,20201031,20201031,20201231,0.217,DE
19393,20191231,20200930,20201231,-0.001,BMY
19502,20200831,20200831,20201231,0.019,WBA
19561,20191231,20200930,20201231,,BA
20482,20191231,20200930,20201231,0.107,ABT
21020,20191231,20200930,20201231,-39.331,AAL
21178,20191231,20200930,20201231,1.854,LMT
21186,20200930,20200930,20201231,-0.049,WRK
21207,20191231,20200930,20201231,0.099,NEM
21371,20200630,20200930,20201231,0.633,CAH
21573,20191231,20200930,20201231,0.050,IP
21776,20191231,20200930,20201231,0.053,EXC
21792,20191231,20200930,20201231,-0.065,CNP
21936,20191231,20200930,20201231,0.090,PFE
22103,20200930,20200930,20201231,0.228,EMR
22111,20191231,20200930,20201231,0.256,JNJ
22293,20191231,20200930,20201231,0.028,GLW
22509,20191231,20200930,20201231,0.198,PPG
22517,20191231,20200930,20201231,0.096,PPL
22592,20191231,20200930,20201231,0.472,MMM
22752,20191231,20200930,20201231,0.404,MRK
22779,20191231,20200930,20201231,,MSI
23026,20191231,20200930,20201231,0.062,FE
23229,20191231,20200930,20201231,0.111,CMS
23393,20191231,20200930,20201231,0.233,CHD
23473,20191231,20200930,20201231,0.079,CINF
23536,20191231,20200930,20201231,0.086,WEC
23579,20191231,20200930,20201231,0.049,TXT
23660,20200531,20200831,20201231,0.257,CTAS
23712,20191231,20200930,20201231,0.089,PEG
23819,20191231,20200930,20201231,-0.586,HAL
23931,20191231,20200930,20201231,0.083,XEL
24010,20191231,20200930,20201231,0.094,ETR
24053,20191231,20200930,20201231,0.059,EVRG
24109,20191231,20200930,20201231,0.070,AEP
24205,20191231,20200930,20201231,0.087,NEE
24643,20191231,20200930,20201231,0.052,HWM
24766,20191231,20200930,20201231,0.262,NOC
24985,20191231,20200930,20201231,0.077,AEE
25081,20191231,20200930,20201231,0.072,CMA
25232,20191231,20200930,20201231,0.096,OKE
25320,20200731,20201031,20201231,0.232,CPB
25419,20191231,20200930,20201231,0.283,WHR
25582,,20200930,20201231,,LHX
25785,20191231,20200930,20201231,-0.005,F
25953,20191231,20200930,20201231,0.199,DOV
26403,20200930,20200930,20201231,-0.030,DIS
26607,20191231,20200930,20201231,-0.102,BH
26710,20191231,20200930,20201231,-0.058,L
26825,20191231,20200930,20201231,0.356,K
27828,20201031,20201031,20201231,,HPQ
27887,20191231,20200930,20201231,0.116,BAX
27959,20191231,20200930,20201231,0.039,DUK
27991,20191231,20200930,20201231,0.082,PNW
28222,20200930,20200930,20201231,0.153,APD
28484,20191231,20200930,20201231,-0.394,HES
28804,20191231,20200930,20201231,-0.145,ALK
30681,20191231,20200930,20201231,0.325,OMC
32803,20191231,20200930,20201231,-0.064,HFC
32870,20201031,20201031,20201231,0.143,HRL
32986,20200930,20200930,20201231,0.079,ATO
34032,20191231,20200930,20201231,,MAS
34746,20191231,20200930,20201231,0.078,FITB
34817,20191231,20200930,20201231,0.040,NUE
34833,20191231,20200930,20201231,-0.440,OXY
35044,20191231,20200930,20201231,0.056,RF
35554,20191231,20200930,20201231,0.094,MTB
36003,20191231,20200930,20201231,0.299,ROL
36468,20191231,20200930,20201231,0.388,SHW
37584,20200930,20200930,20201231,0.078,BEN
38093,20191231,20200930,20201231,0.150,AJG
38156,20191231,20200930,20201231,0.016,WMB
38703,20191231,20200930,20201231,0.019,WFC
38762,20191231,20200930,20201231,-0.038,NI
39490,20191231,20200930,20201231,-1.532,APA
39642,20200930,20200930,20201231,0.040,BDX
39917,20191231,20200930,20201231,0.059,WY
40125,20200331,20200930,20201231,-0.564,DXC
40272,20191231,20200930,20201231,0.057,IFF
40539,20200131,20201031,20201231,0.140,TJX
41080,20191231,20200930,20201231,0.206,CMI
41355,20200630,20200930,20201231,0.180,PH
42200,20191231,20200930,20201231,0.144,PKI
42585,20200430,20201031,20201231,0.092,SJM
42877,20191231,20200930,20201231,0.167,JBHT
42906,20191231,20200930,20201231,0.077,HBAN
43123,20191231,20200930,20201231,-0.195,ATI
43350,20191231,20200930,20201231,0.114,SWK
43449,20191231,20200930,20201231,,MCD
43553,20200331,20200930,20201231,-0.025,VFC
44206,20191231,20200930,20201231,0.071,ES
44329,20191231,20200930,20201231,0.106,TFX
44601,20191231,20200930,20201231,0.450,AVY
44644,20200630,20200930,20201231,0.400,ADP
45751,20191231,20200930,20201231,0.258,MMC
45911,20200930,20200930,20201231,0.196,SWKS
46578,20200630,20200930,20201231,1.545,CLX
46674,20191231,20200930,20201231,0.000,GPC
46886,20200630,20200930,20201231,0.398,KLAC
47896,20191231,20200930,20201231,0.109,JPM
48486,20200630,20200930,20201231,0.549,LRCX
48506,20191231,20200930,20201231,1.713,MCO
48653,20191231,20200930,20201231,0.327,HUM
48725,20191231,20200930,20201231,0.184,UNP
49015,20191231,20200930,20201231,0.040,LNC
49154,20200131,20201031,20201231,0.296,TGT
49656,20191231,20200930,20201231,0.113,BK
49680,20191231,20200930,20201231,0.105,DHR
50286,20200930,20200930,20201231,,LEE
50876,20191231,20200930,20201231,1.014,LLY
51369,20191231,20200930,20201231,0.452,TER
52038,20200630,20200930,20201231,-0.010,SYY
52090,20191130,20200831,20201231,0.180,MKC
52230,20191231,20200930,20201231,0.286,RHI
52329,20200930,20200930,20201231,0.060,J
52476,20191231,20200930,20201231,0.157,EFX
52695,20191231,20200930,20201231,0.334,GWW
52708,20191130,20200831,20201231,0.141,LEN
52978,20191231,20200930,20201231,0.151,HAS
53065,20191231,20200930,20201231,0.216,IPG
53613,20200831,20200831,20201231,0.072,MU
54148,20191231,20200930,20201231,0.237,PHM
55976,20200131,20201031,20201231,0.267,WMT
56274,20200531,20200831,20201231,0.130,CAG
56573,20191231,20200930,20201231,0.630,ITW
57568,20191231,20200930,20201231,0.148,BLL
57665,20200531,20200831,20201231,0.302,NKE
57904,20191231,20200930,20201231,0.154,AFL
58246,20191231,20200930,20201231,0.133,NTRS
